Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
2852.9811,H7N6F1S1Na1,Bisected tri-antennary / Tetra-antennary,7,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2853.0423,H5N7Sa2,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2853.0675,H4N7F3Sm1,Bisected tetra-antennary / Penta-antennary,4,7,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2855.0104,H5N7S2,Bisected tetra-antennary / Penta-antennary,5,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2855.0467,H4N7F3Ga1,Bisected tetra-antennary / Penta-antennary,4,7,3,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2855.0467,H5N7F2Sa1,Bisected tetra-antennary / Penta-antennary,5,7,2,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2856.0307,H4N7F3G1,Bisected tetra-antennary / Penta-antennary,4,7,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2856.0307,H5N7F2S1,Bisected tetra-antennary / Penta-antennary,5,7,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2856.042,H6N6Sm1Gm1,Bisected tri-antennary / Tetra-antennary,6,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2856.042,H6N6Sd1Ga1,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2856.042,H6N6Sa1Gd1,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2857.0511,H5N7F4,Bisected tetra-antennary / Penta-antennary,5,7,4,n/a (no sialic acid),[M+Na]+,Neutral
2857.9477,H5N6F1S1G1Na2,Bisected tri-antennary / Tetra-antennary,5,6,1,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2857.9477,H6N6S2Na2,Bisected tri-antennary / Tetra-antennary,6,6,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2858.0464,H6N6F2Gd1,Bisected tri-antennary / Tetra-antennary,6,6,2,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2858.0464,H7N6F1Sd1,Bisected tri-antennary / Tetra-antennary,7,6,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2860.0257,H7N6F1Gm1,Bisected tri-antennary / Tetra-antennary,7,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2862.0178,H4N7F3S1Na1,Bisected tetra-antennary / Penta-antennary,4,7,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2867.0831,H4N7F3Sd1,Bisected tetra-antennary / Penta-antennary,4,7,3,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2868.0784,H5N6F1Sd1Gd1,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2868.0784,H6N6Sd2,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2868.976,H7N6F1G1Na1,Bisected tri-antennary / Tetra-antennary,7,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2869.0372,H5N7Sa1Ga1,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2869.0624,H4N7F3Gm1,Bisected tetra-antennary / Penta-antennary,4,7,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2869.0624,H5N7F2Sm1,Bisected tetra-antennary / Penta-antennary,5,7,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2871.0053,H5N7S1G1,Bisected tetra-antennary / Penta-antennary,5,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2871.0416,H5N7F2Ga1,Bisected tetra-antennary / Penta-antennary,5,7,2,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2871.0416,H6N7F1Sa1,Bisected tetra-antennary / Penta-antennary,6,7,1,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2872.0257,H5N7F2G1,Bisected tetra-antennary / Penta-antennary,5,7,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2872.0257,H6N7F1S1,Bisected tetra-antennary / Penta-antennary,6,7,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2873.0461,H6N7F3,Bisected tetra-antennary / Penta-antennary,6,7,3,n/a (no sialic acid),[M+Na]+,Neutral
2873.9426,H6N6S1G1Na2,Bisected tri-antennary / Tetra-antennary,6,6,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2874.0413,H7N6F1Gd1,Bisected tri-antennary / Tetra-antennary,7,6,1,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2876.9923,H5N7S2Na1,Bisected tetra-antennary / Penta-antennary,5,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2878.0127,H4N7F3G1Na1,Bisected tetra-antennary / Penta-antennary,4,7,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2878.0127,H5N7F2S1Na1,Bisected tetra-antennary / Penta-antennary,5,7,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2881.0736,H5N7Sm2,Bisected tetra-antennary / Penta-antennary,5,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2881.0736,H5N7Sa1Sd1,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2883.078,H4N7F3Gd1,Bisected tetra-antennary / Penta-antennary,4,7,3,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2883.078,H5N7F2Sd1,Bisected tetra-antennary / Penta-antennary,5,7,2,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2884.0733,H6N6Sd1Gd1,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2885.0573,H5N7F2Gm1,Bisected tetra-antennary / Penta-antennary,5,7,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2885.0573,H6N7F1Sm1,Bisected tetra-antennary / Penta-antennary,6,7,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2885.0573,H5N5F3Sa2,Bisected bi-antennary / Tri-antennary,5,5,3,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2887.0253,H5N5F3S2,Bisected bi-antennary / Tri-antennary,5,5,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2887.0366,H6N7F1Ga1,Bisected tetra-antennary / Penta-antennary,6,7,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2887.0366,H7N7Sa1,Bisected tetra-antennary / Penta-antennary,7,7,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2888.0206,H6N7F1G1,Bisected tetra-antennary / Penta-antennary,6,7,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2888.0206,H7N7S1,Bisected tetra-antennary / Penta-antennary,7,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2889.041,H7N7F2,Bisected tetra-antennary / Penta-antennary,7,7,2,n/a (no sialic acid),[M+Na]+,Neutral
2892.9872,H5N7S1G1Na1,Bisected tetra-antennary / Penta-antennary,5,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2894.0076,H5N7F2G1Na1,Bisected tetra-antennary / Penta-antennary,5,7,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2894.0076,H6N7F1S1Na1,Bisected tetra-antennary / Penta-antennary,6,7,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2896.0733,H4N8F2Sa1,Bisected penta-antennary,4,8,2,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2897.0573,H4N8F2S1,Bisected penta-antennary,4,8,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2897.0685,H5N7Sm1Gm1,Bisected tetra-antennary / Penta-antennary,5,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2897.0685,H5N7Sd1Ga1,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2897.0685,H5N7Sa1Gd1,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2898.0777,H4N8F4,Bisected penta-antennary,4,8,4,n/a (no sialic acid),[M+Na]+,Neutral
2898.9742,H5N7S2Na2,Bisected tetra-antennary / Penta-antennary,5,7,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2899.0478,H6N5Sa3,Bisected bi-antennary / Tri-antennary,6,5,0,Sa3 Sd0 Ga0 Gd0,[M+Na]+,SA
2899.0729,H5N7F2Gd1,Bisected tetra-antennary / Penta-antennary,5,7,2,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2899.0729,H6N7F1Sd1,Bisected tetra-antennary / Penta-antennary,6,7,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2901.0522,H6N7F1Gm1,Bisected tetra-antennary / Penta-antennary,6,7,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2901.0522,H7N7Sm1,Bisected tetra-antennary / Penta-antennary,7,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2901.0522,H5N5F3Sa1Ga1,Bisected bi-antennary / Tri-antennary,5,5,3,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2901.0522,H6N5F2Sa2,Bisected bi-antennary / Tri-antennary,6,5,2,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2901.9999,H6N5S3,Bisected bi-antennary / Tri-antennary,6,5,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2903.0203,H5N5F3S1G1,Bisected bi-antennary / Tri-antennary,5,5,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2903.0203,H6N5F2S2,Bisected bi-antennary / Tri-antennary,6,5,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2903.0315,H7N7Ga1,Bisected tetra-antennary / Penta-antennary,7,7,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2904.0155,H7N7G1,Bisected tetra-antennary / Penta-antennary,7,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2905.0359,H8N7F1,Bisected tetra-antennary / Penta-antennary,8,7,1,n/a (no sialic acid),[M+Na]+,Neutral
2909.0073,H5N5F3S2Na1,Bisected bi-antennary / Tri-antennary,5,5,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2909.1049,H5N7Sd2,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2910.0025,H6N7F1G1Na1,Bisected tetra-antennary / Penta-antennary,6,7,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2910.0025,H7N7S1Na1,Bisected tetra-antennary / Penta-antennary,7,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2910.0889,H4N8F2Sm1,Bisected penta-antennary,4,8,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2912.0682,H4N8F2Ga1,Bisected penta-antennary,4,8,2,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2912.0682,H5N8F1Sa1,Bisected penta-antennary,5,8,1,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2913.0522,H4N8F2G1,Bisected penta-antennary,4,8,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2913.0522,H5N8F1S1,Bisected penta-antennary,5,8,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
